Description,Price,Rating,Review_count,Url
"Amazon Basics Ergonomic Gaming Chair with Bluetooth Speakers and Built-in Mic, Push-Button Height Control - Grey",$215.24,4.3 out of 5 stars,28,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A10218423IUEO2KM08TEI&url=%2FAmazon-Basics-Ergonomic-Microphone-Push-Button%2Fdp%2FB08DF13CF7%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-1-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
AIMU Gaming Chairs Ergonomic Office Chair Video Game Chairs with Footrest High Back Computer Chair Headrest and Lumbar Support Reclining Racing Chair Desk Chair for Men Women (Black and Red),$164.99,3.9 out of 5 stars,26,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A071058015UJJ4UUEVGUX&url=%2FAIMU-Ergonomic-Footrest-Computer-Reclining%2Fdp%2FB09LCDQGKX%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-2-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
"Atbang Gaming Chair Ergonomic Massage PC Office Chair with footrest Racing Computer Chair Reclining Game Chair for Adults Adjustable 2D Armrests 160kg Heavy Duty, Leath-Aire Fabric,Grey&Blue",$199.99,3.9 out of 5 stars,18,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0563762SOZVBZ8BLSZO&url=%2FAtbang-Ergonomic-Reclining-Adjustable-Leath-Aire%2Fdp%2FB09PYDMTS6%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-3-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
"Gaming Chair - Ergonomic Office Chair Flip-up Armrest and Height Adjustable Desk Splicing PU Leather Computer Chair with Lumbar Support, Red",$105.00,4.8 out of 5 stars,16,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02142113J39BCERF7BB5&url=%2FGaming-Chair-Ergonomic-Adjustable-Splicing%2Fdp%2FB0B5G13D69%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dgaming%2Bchair%26qid%3D1658100384%26sr%3D8-4-spons%26psc%3D1&qualifier=1658100384&id=2058959122136027&widgetName=sp_atf
"AutoFull Gaming Chair Racing Style Ergonomic High Back Computer Chair with Height Adjustment, Footrest，Headrest and Lumbar Support E-Sports Swivel Chair，red",$279.99,4.4 out of 5 stars,"2,152",https://www.amazon.com/AutoFull-Ergonomic-Adjustment-Footrest%EF%BC%8CHeadrest-Chair%EF%BC%8Cred/dp/B08BCP8ZSS/ref=sr_1_5?keywords=gaming+chair&qid=1658100384&sr=8-5
"RESPAWN RSP-900 Racing Style, Reclining Gaming Chair, 35.04"" - 51.18"" D x 30.71"" W x 37.01"" - 44.88"" H, Black",$280.00,4.4 out of 5 stars,"3,954",https://www.amazon.com/RESPAWN-900-Racing-Recliner-Reclining-RSP-900-BLK/dp/B07PL2LVFR/ref=sr_1_6?keywords=gaming+chair&qid=1658100384&sr=8-6
"Soontrans White Gaming Chairs with Massage,Ergonomic Gamer Chair,Racing Game Chair,PC Computer Chair with High-Back,Adjustable Headrest and Lumbar Support (Polar White)",$149.90,3.9 out of 5 stars,"2,004",https://www.amazon.com/Soontrans-Ergonomic-Computer-High-Back-Adjustable/dp/B08HN1NPGZ/ref=sr_1_7?keywords=gaming+chair&qid=1658100384&sr=8-7
"Razer Enki Gaming Chair: All-Day Gaming Comfort - Built-in Lumbar Arch - Optimized Cushion Density - Dual-Textured, Eco-Friendly Synthetic Leather - Reactive Seat Tilt & 152-Degree Recline - Green",$399.99,4.6 out of 5 stars,422,https://www.amazon.com/Razer-Enki-Gaming-Chair-Built/dp/B09CLLYMH6/ref=sr_1_8?keywords=gaming+chair&qid=1658100384&sr=8-8
"Soontrans Black Gaming Chair with Footrest, Ergonomic Gamer Chair, Home Office Chair,PC Computer Chair with Headrest and Lumbar Support(Dark Black)",$169.90,4.0 out of 5 stars,"1,664",https://www.amazon.com/SOONTRANS-Ergonomic-Computer-Retractable-Adjustable/dp/B08G19Y5MZ/ref=sr_1_9?keywords=gaming+chair&qid=1658100384&sr=8-9
"Hbada Ergonomic Office Chair High Back Desk Chair Recliner Chair with Lumbar Support Height Adjustable Seat, Headrest- Breathable Mesh Back Soft Foam Seat Cushion, White",$199.99,3.8 out of 5 stars,"5,211",https://www.amazon.com/Hbada-Ergonomic-Office-Chair-Adjustable/dp/B07P7MQ9D5/ref=sr_1_10?keywords=gaming+chair&qid=1658100384&sr=8-10
